Cool,Multiling,Umultiling,ComfNonEng,Media,Priv,StHeard,StDescr,Zed,Spell,SpellUni,Distinct,SameEW,Celebs,Prestige,RecCdns,Software,Dictionary,RecogEh,CdnSorry,EnglAble,FrAble,IndAble,BeyondEF,CdnWay,Age,LiveLand,LiveProv,Gender,EduComp,DegreeYear,Region,EUI,DistCult,EOI,SocMedia
Strongly agree,Probably yes,Yes,Moderately comfortable,,Yes,Yes,"Yes, but I can't describe it well",both,Unimportant,Definitely yes,Probably not,Probably not,No,No particular variety,Sometimes,Yes,Definitely yes,Definitely not,Definitely yes,Agree,Strongly disagree,Agree,Neither disagree nor agree,,20-24,Canada,British Columbia,female,graduate degree,Second year,X,5,,,2-4 hours
Strongly agree,Probably yes,Yes,Moderately comfortable,Important,That depends (please also explain if you can),Yes,"Yes, I do know. It is... (please describe briefly):",zed,Important,Probably yes,Probably yes,Definitely not,Yes (please specify who):,Other (please name):,Often,Yes,Yes,Definitely yes,Definitely yes,Neither disagree nor agree,Neither disagree nor agree,Agree,Neither disagree nor agree,Probably yes,25-29,Canada,Saskatchewan,male,high school,I am not currently studying,SK,0,no,,more than 8 hours
Strongly agree,Definitely yes,Yes,Extremely comfortable,Important,No,Yes,"Yes, I do know. It is... (please describe briefly):",both,Very important,Definitely yes,Definitely yes,Definitely not,Yes (please specify who):,British English,Always,Yes,Definitely yes,Definitely yes,Definitely yes,Disagree,Agree,Strongly agree,Agree,Definitely yes,30-34,Canada,British Columbia,female,undergraduate degree,First year,BC,1,yes (please specify):,11,4-6 hours
Strongly agree,Probably yes,Yes,Extremely comfortable,Extremely important,Yes,No,,zed,Important,Probably yes,Probably yes,Probably not,,No particular variety,Often,Yes,Definitely yes,Definitely yes,Definitely yes,Strongly agree,Strongly agree,Strongly agree,Agree,Probably yes,20-24,Canada,Manitoba,male,high school,Fourth year+,MB,0,no,,30 minutes to 1 hour
Somewhat agree,Probably not,No,,Important,Yes,No,,zee,Important,Definitely yes,Probably yes,Probably yes,,Other (please name):,Always,Yes,Yes,Definitely yes,Might or might not,Strongly agree,Strongly disagree,Agree,Neither disagree nor agree,Definitely yes,20-24,Canada,Saskatchewan,male,high school,I am not currently studying,SK,0,yes (please specify):,,30 minutes to 1 hour
Somewhat agree,Definitely not,Yes,Neither comfortable nor uncomfortable,Extremely important,Yes,Yes,"Yes, but I can't describe it well",zee,Very important,Definitely yes,Definitely yes,Definitely not,,British English,Often,Yes,Definitely not,Definitely yes,Definitely yes,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Definitely yes,20-24,Canada,New Brunswick,non-binary,undergraduate degree,I am in a graduate program,X,0,no,,2-4 hours
Agree,Probably not,No,,Unimportant,Yes,Yes,"Yes, but I can't describe it well",zed,Neither unimportant nor important,Probably yes,Probably yes,Probably not,,British English,Often,No,Yes,Definitely yes,Probably yes,Strongly disagree,Strongly disagree,Neither disagree nor agree,Strongly disagree,,55-59,Canada,Ontario,male,high school,I am not currently studying,ON,0,no,,30 minutes to 1 hour
Strongly agree,Probably yes,Yes,Extremely comfortable,Extremely important,That depends (please also explain if you can),Yes,"Yes, I do know. It is... (please describe briefly):",zed,Very important,Definitely yes,Definitely yes,Definitely not,No,British English,Always,Yes,Yes,Definitely yes,Might or might not,Agree,Agree,Agree,Agree,Definitely yes,30-34,Canada,Manitoba,female,graduate degree,I am in a graduate program,X,0,no,,1-2 hours
Strongly agree,Probably yes,Yes,Extremely comfortable,Extremely important,Yes,Yes,"Yes, I do know. It is... (please describe briefly):",zed,Important,Definitely yes,Definitely yes,Definitely not,,British English,Often,Yes,Don't know,Definitely yes,Probably yes,Disagree,Disagree,Strongly agree,Strongly disagree,Definitely yes,40-44,Spain,,female,undergraduate degree,I am in a graduate program,BC,4,no,,30 minutes to 1 hour
Agree,Probably not,Yes,Extremely comfortable,Extremely important,No,Not sure,,zee,Very important,Definitely yes,Definitely yes,,No,British English,Don't know,Yes,Don't know,Might or might not,Probably yes,Neither disagree nor agree,Disagree,Agree,Disagree,,15-19,Canada,British Columbia,male,high school,Second year,BC,3,yes (please specify):,1,2-4 hours
