cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,province,gender,edu_comp,degree_year,region,eui,dist_cult,eoi,soc_media,cdn_way_num
agree,definitely yes,yes,extremely comfortable,unimportant,yes,no,,both,very unimportant,,probably yes,definitely not,yes ,no particular variety,sometimes,,neither yes or no,definitely yes,definitely yes,disagree,strongly disagree,agree,neither disagree nor agree,probably yes,24,canada,british columbia,female,high school,fourth year+,bc,0,yes ,9,46 hours,3
strongly agree,definitely yes,yes,extremely comfortable,important,no,no,,zed,very important,definitely yes,probably yes,definitely not,no,british english,sometimes,yes,definitely yes,might or might not,might or might not,agree,agree,agree,agree,probably yes,74,canada,quebec,female,graduate degree,i am not currently studying,qc,10,yes ,8,24 hours,3
strongly agree,neutral,yes,extremely comfortable,extremely important,that depends ,no,yes i do know it is ,zee,,definitely yes,definitely yes,probably not,yes ,british english,always,yes,yes,might or might not,might or might not,strongly agree,agree,agree,neither disagree nor agree,definitely yes,54,canada,quebec,female,graduate degree,i am not currently studying,qc,12,no,,12 hours,4
strongly agree,probably yes,yes,extremely comfortable,extremely important,that depends ,yes,yes but i cant describe it well,zed,important,definitely yes,definitely yes,definitely not,,no particular variety,sometimes,yes,definitely yes,definitely yes,might or might not,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,neither disagree nor agree,definitely yes,54,canada,quebec,female,postgraduate degree,i am not currently studying,qc,12,no,,12 hours,4
agree,probably yes,yes,neither comfortable nor uncomfortable,important,yes,yes,yes i do know it is ,zed,important,probably yes,probably not,probably not,yes ,canadian english,sometimes,yes,neither yes or no,definitely yes,might or might not,strongly agree,disagree,agree,neither disagree nor agree,probably yes,49,canada,ontario,female,graduate degree,i am not currently studying,on,0,no,,12 hours,3
agree,probably not,yes,moderately comfortable,unimportant,yes,no,,zed,neither unimportant nor important,probably yes,probably not,definitely not,yes ,british english,sometimes,yes,no,definitely yes,probably yes,agree,disagree,agree,agree,probably not,34,canada,british columbia,male,undergraduate degree,other degree ,bc,0,no,,,2
strongly agree,definitely yes,yes,neither comfortable nor uncomfortable,important,that depends ,yes,yes but i cant describe it well,zed,very important,definitely yes,,probably not,,no particular variety,often,yes,yes,might or might not,probably yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,44,canada,british columbia,female,graduate degree,i am not currently studying,bc,0,yes ,7,i dont use social media,3
strongly agree,probably yes,yes,extremely comfortable,extremely important,yes,no,,zed,very important,definitely yes,probably yes,probably yes,yes ,british english,always,yes,neither yes or no,definitely yes,definitely yes,,neither disagree nor agree,agree,neither disagree nor agree,probably yes,69,united kingdom,,female,postgraduate degree,i am not currently studying,on,1,yes ,1,12 hours,3
strongly agree,probably not,yes,extremely comfortable,important,yes,no,,zed,important,probably not,probably not,definitely not,yes ,singaporean english,,,neither yes or no,probably yes,might or might not,disagree,disagree,strongly agree,disagree,definitely yes,19,canada,ontario,female,high school,second year,bc,0,no,,,4
agree,probably yes,no,,extremely unimportant,that depends ,yes,yes i do know it is ,zed,very important,definitely yes,probably yes,definitely not,yes ,other ,often,yes,definitely yes,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,definitely yes,69,canada,saskatchewan,female,graduate degree,i am not currently studying,sk,0,yes ,5,12 hours,4
