cool,multiling,umultiling,comf_non_eng,media,priv,st_heard,st_descr,zed,spell,spell_uni,distinct,same_ew,celebs,prestige,rec_cdns,software,dictionary,recog_eh,cdn_sorry,engl_able,fr_able,ind_able,beyond_ef,cdn_way,age,country,province,gender,edu_comp,degree_year,region,eui,dist_cult,eoi,soc_media,spell_uni_num,distinct_num,cdn_way_num,spell_num,spell_uni_scaled,distinct_scaled,cdn_way_scaled,attitude_index_scaled
strongly agree,probably not,no,,important,that depends ,yes,yes i do know it is ,zed,neither unimportant nor important,might or might not,definitely yes,definitely not,no,canadian english,always,yes,neither yes or no,definitely yes,definitely yes,neither disagree nor agree,neither disagree nor agree,strongly agree,neither disagree nor agree,definitely yes,79,canada,british columbia,female,postgraduate degree,i am not currently studying,bc,0,no,,12 hours,3,4,4,3,3,5,5,4
strongly agree,probably not,no,,important,that depends ,yes,yes but i cant describe it well,zed,neither unimportant nor important,might or might not,probably not,,yes ,british english,rarely,,neither yes or no,might or might not,might or might not,agree,disagree,agree,disagree,probably not,44,canada,british columbia,female,postgraduate degree,i am not currently studying,bc,0,no,,30 minutes to 1 hour,3,2,2,3,3,2.33333333333333,2.33333333333333,2.66666666666667
strongly agree,neutral,no,,important,that depends ,no,,zed,neither unimportant nor important,probably yes,definitely yes,definitely not,yes ,british english,often,no,yes,definitely yes,probably yes,agree,neither disagree nor agree,agree,neither disagree nor agree,,49,canada,british columbia,male,high school,i am not currently studying,bc,0,yes ,12,12 hours,4,4,,3,4,5,,4
strongly agree,definitely yes,no,,extremely important,that depends ,yes,yes but i cant describe it well,zed,important,definitely yes,probably yes,,yes ,british english,sometimes,yes,neither yes or no,definitely yes,definitely yes,strongly agree,neither disagree nor agree,agree,agree,,69,canada,british columbia,female,other ,i am not currently studying,bc,0,no,,30 minutes to 1 hour,5,3,,4,5,3.66666666666667,,4.22222222222222
agree,definitely not,no,,important,yes,no,,both,unimportant,,probably not,definitely not,no,no particular variety,often,,no,probably yes,probably yes,agree,disagree,,disagree,probably not,64,canada,british columbia,male,high school,i am not currently studying,bc,0,no,,less than 30 minutes,,2,2,2,,2.33333333333333,2.33333333333333,2.22222222222222
agree,probably yes,no,,extremely important,yes,not sure,,zed,important,definitely yes,probably yes,probably not,yes ,british english,often,yes,definitely yes,definitely yes,probably yes,neither disagree nor agree,neither disagree nor agree,agree,neither disagree nor agree,probably yes,69,canada,alberta,female,other ,second year,bc,1,no,,30 minutes to 1 hour,5,3,3,4,5,3.66666666666667,3.66666666666667,4.08333333333333
,definitely not,yes,neither comfortable nor uncomfortable,extremely unimportant,no,no,,both,unimportant,probably not,definitely not,probably yes,no,british english,rarely,no,no,probably not,probably yes,agree,strongly disagree,neither disagree nor agree,neither disagree nor agree,,44,canada,ontario,other,undergraduate degree,i am not currently studying,on,0,yes ,11,,2,1,,2,2,1,,1.66666666666667
agree,probably yes,no,,extremely important,that depends ,yes,yes i do know it is ,both,very important,might or might not,definitely yes,definitely not,,british english,always,yes,yes,definitely yes,definitely yes,strongly agree,disagree,agree,disagree,definitely yes,34,canada,british columbia,female,graduate degree,i am not currently studying,bc,0,no,,46 hours,3,4,4,5,3,5,5,4.5
strongly agree,definitely yes,yes,moderately comfortable,important,that depends ,yes,,both,neither unimportant nor important,might or might not,probably yes,definitely not,no,british english,often,yes,neither yes or no,definitely yes,probably yes,agree,agree,agree,strongly agree,probably yes,24,canada,british columbia,other,undergraduate degree,i am not currently studying,ab,4,yes ,3,46 hours,3,3,3,3,3,3.66666666666667,3.66666666666667,3.33333333333333
agree,neutral,yes,extremely uncomfortable,important,yes,not sure,yes i do know it is ,zee,important,definitely yes,probably not,probably yes,yes ,british english,sometimes,yes,yes,definitely yes,definitely yes,strongly agree,disagree,neither disagree nor agree,neither disagree nor agree,definitely yes,19,canada,british columbia,male,elementary school,i am not currently studying,bc,0,no,,68 hours,5,2,4,4,5,2.33333333333333,5,4.08333333333333
